name,platform,year_of_release,genre,rating
Petz Wild Animals: Dolphinz,DS,2007,Simulation,E
Mega Man Battle Network 4: Red Sun / Blue Moon,GBA,2003,Role-Playing,
LEGO Harry Potter: Years 1-4,PS3,2010,Action,E10+
Your Shape: Fitness Evolved,X360,2010,Sports,E
Need for Speed Underground Rivals,PSP,2005,Racing,E
The Elder Scrolls Online,XOne,2015,Role-Playing,M
Rise of the Tomb Raider,PS4,2016,Adventure,M
Madden NFL 97,PS,1996,Sports,
The ICO & Shadow of the Colossus Collection,PS3,2011,Adventure,
TNN Motor Sports Hardcore 4x4,PS,1996,Racing,
Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,E
Far Cry 4,PS3,2014,Shooter,M
MAG: Massive Action Game,PS3,2010,Shooter,
Rage,PS3,2011,Shooter,M
IHRA Drag Racing 2,PS2,2002,Racing,E
Madagascar,PS2,2005,Platform,E10+
Rugrats Studio Tour,PS,1999,Adventure,
Pitfall II: Lost Caverns,2600,1983,Platform,
Turok: Evolution,PS2,2002,Shooter,M
[Prototype],X360,2009,Action,M
Skylanders Giants,X360,2012,Action,E10+
Burnout 3: Takedown,X,2004,Racing,T
The Beatles: Rock Band,X360,2009,Misc,T
Adventure,2600,1980,Adventure,
Yu-Gi-Oh! The Sacred Cards,GBA,2002,Role-Playing,
NBA Live 07,PS2,2006,Sports,E
SingStar 80s,PS2,2005,Misc,T
Romancing SaGa 3,SNES,1995,Role-Playing,
Test Drive 5,PS,1997,Racing,
Crysis 2,PS3,2011,Action,M
Tekken 6,X360,2009,Fighting,T
NBA 2K17,XOne,2016,Sports,E
Digimon World,PS,1999,Role-Playing,
Namco Museum DS,DS,2007,Misc,E
LEGO Batman: The Videogame,PS3,2008,Action,E10+
Pokemon Ranger: Guardian Signs,DS,2010,Role-Playing,E
Assassins Creed: Rogue,PS3,2014,Action,M
Mega Man Battle Network 3 Blue / White Version,GBA,2002,Role-Playing,
High School Musical 3: Senior Year DANCE!,Wii,2008,Misc,
Resident Evil Zero,GC,2002,Action,
Sonic Colors,DS,2010,Platform,E
Mario & Luigi: Partners in Time,DS,2005,Role-Playing,
Pirates of the Caribbean: The Curse of the Black Pearl,GBA,2003,Platform,E
Deal or No Deal,Wii,2009,Misc,E
Transformers,PS2,2004,Shooter,T
The LEGO Movie Videogame,X360,2014,Action,E10+
EA Playground,Wii,2007,Sports,E
Midnight Club 3: DUB Edition (America weekly sales),PS2,2005,Racing,
Golds Gym: Cardio Workout,Wii,2008,Sports,E
Champions of Norrath,PS2,2004,Role-Playing,T
LEGO Batman: The Videogame,PSP,2008,Action,E10+
Yakuman,G,1989,Misc,
Dark Souls II,PS3,2014,Role-Playing,T
Imagine: Wedding Designer,DS,2008,Simulation,E
Army Men 3D,PS,1999,Action,
Twisted Metal 4,PS,1999,Racing,
Manhunt,PS2,2003,Action,M
Need for Speed Carbon,Wii,2006,Racing,E10+
Silent Hill 2,PS2,2001,Action,M
Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012,Role-Playing,E
Castlevania: Symphony of the Night,PS,1997,Platform,T
Guitar Hero: Aerosmith,Wii,2008,Misc,T
Kid Icarus: Uprising,3DS,2012,Action,E10+
The Sims 2: Nightlife,PC,2005,Simulation,T
LEGO Batman: The Videogame,PS2,2008,Action,E10+
Road Rash,PS,1995,Racing,
Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,M
Atlantis,2600,1981,Shooter,
NBA 2K9,X360,2008,Sports,E
Tony Hawks Underground,X,2003,Sports,T
Hogans Alley,NES,1984,Shooter,
Mystery Case Files: MillionHeir,DS,2008,Adventure,E
.hack//Infection Part 1,PS2,2002,Role-Playing,T
Jillian Michaels Fitness Ultimatum 2009,Wii,2008,Sports,E
Valkyria Chronicles,PS3,2008,Role-Playing,T
LEGO Battles,DS,2009,Strategy,E
WWE 12,X360,2011,Fighting,T
Sonic Adventure DX: Directors Cut,GC,2003,Platform,E
Final Fantasy X / X-2 HD Remaster,PS3,2013,Role-Playing,T
Jet Li: Rise to Honor,PS2,2004,Action,
Battle Arena Toshinden,PS,1994,Fighting,T
WWE 13,X360,2012,Action,T
Need for Speed Rivals,PS3,2013,Racing,E10+
Watch Dogs,X360,2014,Action,M
EA Sports Active 2,Wii,2010,Sports,E
Rockstar Games presents Table Tennis,Wii,2007,Sports,E
Devil Dice,PS,1998,Puzzle,
Football Manager 2011,PC,2010,Sports,E
Championship Manager 03/04,PC,2003,Sports,
Brian Lara Cricket,PS,1998,Sports,
Saints Row IV,PS3,2013,Action,M
Tamagotchi Connection: Corner Shop,DS,2005,Simulation,E
Wheel of Fortune,PS,1998,Misc,
Captain Toad: Treasure Tracker,WiiU,2014,Puzzle,E
Tomb Raider: Underworld,PS3,2008,Action,T
Kung Fu Panda,DS,2008,Action,
LittleBigPlanet PS Vita,PSV,2012,Platform,E
NBA Live 2001,PS,2000,Sports,E
LEGO Harry Potter: Years 5-7,Wii,2011,Action,E10+
Star Wars: The Force Unleashed,PS2,2008,Action,T
Combat,2600,1977,Action,
SOCOM: U.S. Navy SEALs Confrontation,PS3,2008,Shooter,M
Dragon Ball: Daimaou Fukkatsu,NES,1988,Role-Playing,
Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Role-Playing,
Reel Fishing,PS,1996,Sports,
Need for Speed: Most Wanted,X360,2005,Racing,T
Pokemon XD: Gale of Darkness,GC,2005,Role-Playing,E
Black,PS2,2006,Shooter,M
Tom Clancys Rainbow Six: Vegas,PS3,2007,Shooter,M
RollerCoaster Tycoon 2,PC,2002,Strategy,E
Ratatouille,DS,2007,Action,
Lara Croft Tomb Raider: The Angel of Darkness,PS2,2003,Action,T
Tom Clancys Splinter Cell: Pandora Tomorrow,PS2,2004,Action,T
Road Rash 3D,PS,1998,Racing,
Ratchet: Deadlocked,PS2,2005,Shooter,T
Winter Sports: The Ultimate Challenge,Wii,2007,Sports,E
Baldurs Gate: Dark Alliance,PS2,2001,Role-Playing,T
Kingdom Hearts II,PS3,2014,Role-Playing,
Oddworld: Abes Oddysee,PS,1997,Platform,T
FIFA Street,PS3,2012,Sports,E
Ridge Racer V,PS2,2000,Action,E
Super Mario Maker,3DS,2016,Platform,
WWE SmackDown vs. Raw 2009,PS2,2008,Fighting,T
Tetris 2 (All region sales),G,1992,Puzzle,
Star Wars Episode III: Revenge of the Sith,X,2005,Action,T
[Prototype],PS3,2009,Action,M
LEGO The Lord of the Rings,X360,2012,Action,E10+
Transformers: Autobots / Decepticons,DS,2007,Action,
Assassins Creed: Bloodlines,PSP,2009,Action,M
Hyrule Warriors,WiiU,2014,Action,T
Frogger: The Great Quest,PS2,2001,Platform,E
WWE 2K16,PS4,2015,Sports,T
Ninja Gaiden,X,2004,Action,M
Cars 2,DS,2011,Racing,
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,T
Crash Bandicoot: The Wrath of Cortex,X,2002,Platform,E
Driv3r,PS2,2004,Racing,M
Disney's Tarzan / Disney's Aladdin in Nasiras Revenge / Disney's The Emperors New Groove Action Game,PS,2003,Misc,
Kirby Tilt n Tumble,G,2000,Puzzle,
SpongeBob SquarePants: Battle for Bikini Bottom,GBA,2003,Platform,E
Vigilante 8,PS,1998,Racing,
Castlevania,NES,1986,Platform,
Donkey Kong Country 2,GBA,2004,Platform,E
Guitar Hero: Aerosmith,X360,2008,Misc,T
"WarioWare, Inc.: Mega MicroGame$",GBA,2003,Puzzle,
Need for Speed Carbon,PS3,2006,Racing,E10+
Ben 10: Protector of Earth,Wii,2007,Action,E10+
Grand Theft Auto V,PC,2015,Action,M
2010 FIFA World Cup South Africa,PS3,2010,Sports,E
Tales of Xillia,PS3,2011,Role-Playing,T
Diddy Kong Racing DS,DS,2007,Racing,E
Mario Power Tennis,GC,2004,Sports,E
Intelligent Qube,PS,1997,Puzzle,
Game & Watch Gallery 2,G,1997,Misc,
Game & Watch Gallery 3,G,1999,Misc,
Pac-Man,NES,1984,Puzzle,
Parfait: Chocolat Second Style,PS2,2006,Adventure,
NBA Live 99,PS,1997,Sports,
Chocobo no Fushigi Dungeon,PS,1997,Role-Playing,
Golden Sun: The Lost Age,GBA,2002,Role-Playing,E
SimCity 2000,PS,1996,Simulation,
Max Payne,X,2001,Shooter,M
Battlefield: Hardline,XOne,2015,Shooter,M
WCW Mayhem,PS,1998,Fighting,
NBA 2K2,PS2,2002,Sports,E
NASCAR Thunder 2003,PS2,2002,Racing,E
Cars,PS2,2006,Racing,E
Fuzion Frenzy,X,2001,Misc,E
Call of Duty: Finest Hour,X,2004,Shooter,T
Final Fantasy IV,DS,2007,Simulation,E10+
Star Wars: Battlefront II,PSP,2005,Shooter,T
Super Street Fighter IV: 3D Edition,3DS,2011,Fighting,T
Sly Cooper and the Thievius Raccoonus,PS2,2002,Platform,E
The Magical Quest starring Mickey Mouse,SNES,1992,Platform,
Star Wars Episode 1: Jedi Power Battles,PS,1999,Action,
Dino Crisis 2,PS,2000,Action,M
Dragon Quest IV: Michibikareshi Monotachi,PS,2001,Role-Playing,
Naruto Shippuden: Ultimate Ninja Storm 2,PS3,2010,Fighting,T
Need for Speed Underground,GC,2003,Racing,E
Medal of Honor: Airborne,PS3,2007,Shooter,T
Shrek / Shrek 2 2-in-1 Gameboy Advance Video,GBA,2007,Misc,
FIFA Soccer 07,PSP,2006,Sports,
Bayonetta,PS3,2009,Action,M
Test Drive 4,PS,1997,Racing,
Boom Blox,Wii,2008,Puzzle,E
Farming Simulator 2015,PC,2014,Simulation,
World Soccer Winning Eleven 9 (JP & Others sales),PSP,2005,Sports,
The Sims 2: Castaway,Wii,2007,Simulation,T
The Lord of the Rings: The Fellowship of the Ring,PS2,2002,Action,T
Destiny: The Taken King,XOne,2015,Shooter,T
ATV Offroad Fury 3,PS2,2004,Racing,E
F1 2011,PS3,2011,Racing,E
Pikmin 2,GC,2004,Strategy,E
SolarStriker,G,1989,Shooter,
TwinBee,NES,1986,Shooter,
Ganbare Goemon! Karakuri Douchuu,NES,1986,Platform,
NFL 2K,DC,1999,Sports,
Dragon Ball Z: La Legende Saien,SNES,1993,Fighting,
LEGO Batman 2: DC Super Heroes,PS3,2012,Action,E10+
Cars,PSP,2006,Racing,E
Enter the Matrix,X,2003,Action,T
FIFA Soccer 11,PSP,2010,Sports,E
NHL 2002,PS2,2001,Sports,E
Nuclear Strike,PS,1997,Simulation,
The Simpsons: Road Rage,GBA,2003,Racing,E
SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,2002,Platform,E
Pro Evolution Soccer 2008,Wii,2008,Sports,E
Scarface: The World is Yours,PS2,2006,Action,M
Kobe Bryant in NBA Courtside,N64,1998,Sports,
Disney's Chip n Dale: Rescue Rangers,NES,1990,Platform,
The Dukes of Hazzard: Racing for Home,PS,1999,Racing,
Disney Sing It,Wii,2008,Misc,E
Hitman 2: Silent Assassin,X,2002,Action,M
WWE SmackDown vs Raw 2008,PSP,2007,Fighting,T
Injustice: Gods Among Us,PS3,2013,Fighting,T
Mad Max (2015),PS4,2015,Action,
Spider-Man: The Movie,GC,2002,Action,E
Final Fantasy I & II: Dawn of Souls,GBA,2004,Role-Playing,
Mario vs. Donkey Kong 2: March of the Minis,DS,2006,Puzzle,E
Metal Gear Solid: Portable Ops,PSP,2006,Action,M
Metal Gear Solid VR Missions,PS,1999,Adventure,
LEGO Indiana Jones 2: The Adventure Continues,DS,2009,Action,E
Mario & Sonic at the London 2012 Olympic Games,3DS,2012,Sports,
Pole Position,2600,1982,Racing,
Pro Yakyuu Family Stadium 88,NES,1988,Sports,
Mario Tennis,G,2000,Sports,
Shenmue,DC,1999,Adventure,T
Just Dance 4,X360,2012,Misc,E10+
Tony Hawks Pro Skater 2,GBA,2001,Sports,E
One Piece: Pirate Warriors,PS3,2012,Action,T
Super Ghouls n Ghosts,SNES,1991,Platform,
Soviet Strike,PS,1996,Simulation,
Gun,PS2,2005,Shooter,M
Ty the Tasmanian Tiger,PS2,2002,Platform,E
LEGO Indiana Jones: The Original Adventures,PSP,2008,Action,E10+
Pok\xc3\xa9Park Wii: Pikachus Adventure,Wii,2009,Adventure,E
Fallout: New Vegas,PC,2010,Role-Playing,M
Resident Evil: Operation Raccoon City,PS3,2012,Action,M
Mega Man 3,NES,1990,Platform,
WWE 12,PS3,2011,Fighting,T
Mission: Impossible,N64,1997,Action,
Romancing SaGa 2,SNES,1993,Role-Playing,
Cabelas Dangerous Hunts,PS2,2003,Sports,T
Cool Boarders 4,PS,1998,Sports,
WWE SmackDown vs. Raw 2010,PS3,2009,Fighting,T
Rage Racer,PS,1996,Racing,
Medal of Honor: Rising Sun,X,2003,Shooter,T
Army of Two,PS3,2008,Shooter,M
Spore,PC,2008,Strategy,E10+
Destruction Derby 2,PS,1996,Racing,
Mario vs. Donkey Kong,GBA,2004,Puzzle,E
The Legend of Zelda: Tri Force Heroes,3DS,2015,Action,E
LEGO Star Wars III: The Clone Wars,PS3,2011,Action,E10+
Midnight Club 3: DUB Edition Remix,PS2,2006,Racing,E10+
Tom Clancys Ghost Recon: Jungle Storm,PS2,2004,Shooter,T
FIFA 14,XOne,2013,Sports,E
Bushido Blade,PS,1997,Fighting,T
Mirrors Edge,X360,2008,Platform,T
Sonic the Hedgehog,PS3,2006,Platform,E10+
NASCAR Thunder 2002,PS2,2001,Racing,E
Yu-Gi-Oh! The Sacred Cards (American and Others sales),GBA,2002,Role-Playing,
Sega Rally Championship,SAT,1995,Racing,
Jet Force Gemini,N64,1999,Shooter,
Mega Man X,SNES,1993,Platform,
Test Drive: Off Road,PS,1997,Racing,
The Elder Scrolls V: Skyrim,XOne,2016,Role-Playing,
Your Shape: Fitness Evolved 2012,X360,2011,Sports,E
Medal of Honor: Warfighter,X360,2012,Action,M
Final Fantasy Tactics: The War of the Lions,PSP,2007,Role-Playing,T
LEGO Star Wars: The Video Game,X,2005,Action,
Sniper: Ghost Warrior,X360,2010,Shooter,M
Sonic Rush Adventure,DS,2007,Platform,E
Worldwide Soccer Manager 2009,PC,2008,Simulation,E
Gauntlet: Dark Legacy,PS2,2001,Action,T
Medal of Honor Heroes 2,PSP,2007,Shooter,T
WWE 2K15,PS4,2014,Sports,T
Bad Boys: Miami Takedown,PS2,2004,Shooter,M
Wario Land: Shake It!,Wii,2008,Platform,
Football Manager 2013,PC,2012,Sports,
Kaboom!,2600,1980,Misc,
FIFA Soccer 10,PSP,2009,Sports,E
Qix,G,1990,Puzzle,
Doraemon,NES,1986,Action,
Derby Stallion III,SNES,1995,Sports,
High School Musical 2: Work This Out!,DS,2008,Misc,
Donkey Konga,GC,2003,Misc,E
Call of Duty 4: Modern Warfare,PC,2007,Shooter,M
Dragon Quest I & II,SNES,1993,Role-Playing,
Tak and the Power of Juju,PS2,2003,Platform,E
Red Dead Redemption: Undead Nightmare,PS3,2010,Action,M
Asteroids,PS,1998,Shooter,
Puyo Puyo Sun Ketteiban,PS,1997,Puzzle,
Persona 4: Golden,PSV,2012,Role-Playing,M
Sunset Overdrive,XOne,2014,Shooter,M
Action Bass,PS,2000,Action,E
Tenchu: Wrath of Heaven,PS2,2003,Action,M
Shadow of the Colossus,PS2,2005,Action,T
Brave Fencer Musashi,PS,1998,Role-Playing,E
Pokemon Rumble Blast,3DS,2011,Action,E10+
Ninja Gaiden Sigma,PS3,2007,Action,M
WWE 2K14,PS3,2013,Sports,T
007: Quantum of Solace,PS3,2008,Action,T
Dance Dance Revolution Extreme 2,PS2,2005,Simulation,E10+
Dragon Ball: XenoVerse,PS4,2015,Fighting,T
Super R.C. Pro-Am,G,1991,Racing,
Resident Evil - Code: Veronica,DC,2000,Action,
Commando,NES,1986,Action,
Pilotwings,SNES,1990,Simulation,
South Park,N64,1998,Shooter,
The Lord of the Rings: The Return of the King,X,2003,Action,T
EA Sports Active: More Workouts,Wii,2009,Sports,E
LEGO Star Wars: The Video Game,GBA,2005,Action,
Hot Shots Golf: Out of Bounds,PS3,2007,Sports,E
Royal Palace of White Sword and The City of Gentiles,PS2,2005,Role-Playing,
Ratchet & Clank: All 4 One,PS3,2011,Platform,
Alien: Isolation,PS4,2014,Shooter,M
Mobile Suit Gundam: Federation vs. Zeon,PS2,2001,Simulation,T
Need for Speed Underground 2,GC,2004,Racing,
Pikmin 3,WiiU,2013,Strategy,E10+
MechAssault,X,2002,Simulation,T
LEGO City Undercover,WiiU,2013,Platform,E10+
Pokken Tournament,WiiU,2016,Fighting,E10+
Derby Stallion 99,PS,1999,Sports,
Cars,GBA,2006,Racing,E
LEGO Star Wars III: The Clone Wars,3DS,2011,Action,E10+
Project CARS,PS4,2015,Racing,E
Tom Clancys Rainbow Six 3: Black Arrow,X,2004,Shooter,M
Donkey Kong,NES,1983,Platform,
Rocksmith,PS3,2011,Misc,T
Mirrors Edge,PS3,2008,Platform,T
Guitar Hero 5,X360,2009,Misc,T
Fantasy Life,3DS,2012,Role-Playing,E10+
Jampack Winter 98,PS,1998,Misc,
Pok\xc3\xa9mon Mystery Dungeon: Red Rescue Team (US weekly sales),GBA,2005,Role-Playing,
SingStar,PS3,2007,Misc,T
Moon Patrol,2600,1982,Shooter,
Supercar Street Challenge,PS2,2001,Racing,E
Rabbids Go Home,Wii,2009,Platform,E10+
Pilotwings 64,N64,1996,Simulation,
Rocksmith,X360,2011,Misc,T
ModNation Racers,PS3,2010,Racing,E
SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,2005,Shooter,M
Call Of Duty 2: Big Red One,X,2005,Shooter,T
Yoshis Cookie,NES,1992,Puzzle,
Guitar Hero 5,PS2,2009,Misc,T
Worldwide Soccer Manager 2008,PC,2007,Sports,E
Yakuza 3,PS3,2009,Action,M
Spider-Man 2,X,2004,Action,T
Crackdown 2,X360,2010,Shooter,M
The Beatles: Rock Band,PS3,2009,Misc,T
Dragon Age II,X360,2011,Action,M
Counter-Strike,X,2003,Shooter,M
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PS2,2007,Action,
Guitar Hero Encore: Rocks The 80s,PS2,2007,Misc,T
Fight Night Champion,PS3,2011,Fighting,M
Rock Band,PS2,2007,Misc,T
Tom Clancys Splinter Cell: Chaos Theory,X,2005,Action,M
Arc the Lad,PS,1995,Role-Playing,
NBA Jam Tournament Edition,GEN,1994,Sports,
Donkey Kong Jr.,NES,1983,Platform,
Legend of Mana,PS,1999,Role-Playing,
WWE 2K14,X360,2013,Sports,T
Lumines: Puzzle Fusion,PSP,2004,Puzzle,
Megamania,2600,1981,Shooter,
Jungle Hunt,2600,1982,Platform,
Dishonored 2,PS4,2016,Action,M
Castlevania: Lords of Shadow,PS3,2010,Action,M
Triple Play 98,PS,1997,Sports,
Plants vs. Zombies,DS,2011,Strategy,E10+
Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories,G,1999,Strategy,
The Final Fantasy Legend,G,1989,Role-Playing,
F-Zero X,N64,1998,Racing,
Popeye,NES,1983,Platform,
Lode Runner,NES,1984,Puzzle,
Famicom Jump: Eiyuu Retsuden,NES,1989,Role-Playing,
Omerta: City of Gangsters,PS3,2011,Simulation,
NBA Live 2001,PS2,2001,Sports,E
SingStar Legends,PS2,2006,Misc,T
SingStar Rocks!,PS2,2006,Misc,
Tales of Symphonia,GC,2003,Role-Playing,T
Need for Speed: ProStreet,Wii,2007,Racing,E10+
GRID,PS3,2008,Racing,E
Medal of Honor: Airborne,X360,2007,Shooter,T
Star Ocean: The Second Story,PS,1998,Role-Playing,E
Petz Dogz 2,DS,2007,Simulation,E
Sonic and the Black Knight,Wii,2009,Platform,E10+
Plants vs. Zombies: Garden Warfare,X360,2014,Shooter,E10+
Final Fantasy XIV: A Realm Reborn,PS3,2013,Role-Playing,
NCAA Football 14,X360,2013,Sports,E
The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,T
Yakuza 2,PS2,2006,Adventure,M
Disney Infinity 2.0: Marvel Super Heroes,X360,2014,Action,
LEGO Star Wars III: The Clone Wars,DS,2011,Action,E
Guitar Hero 5,PS3,2009,Misc,T
Sonic Free Riders,X360,2010,Racing,E
Dragon Ball Z: The Legacy of Goku II,GBA,2003,Role-Playing,E
NERF N-Strike,Wii,2008,Shooter,E10+
BeatMania,PS,1998,Simulation,
NFL 2K1,DC,2000,Sports,E
Untold Legends: Brotherhood of the Blade,PSP,2005,Role-Playing,T
Madden NFL 2004,X,2003,Sports,E
The Godfather,PS2,2006,Action,M
Star Wars: Bounty Hunter,PS2,2002,Shooter,T
Densha De Go!,PS,1997,Simulation,
WWE SmackDown vs. Raw 2011,PS3,2010,Fighting,T
NCAA Football 13,X360,2012,Action,E
Skate 2,X360,2009,Sports,T
Empire: Total War,PC,2009,Strategy,T
NFL Blitz 2000,PS,1998,Sports,
Imagine: Babysitters,DS,2008,Simulation,E
NASCAR Thunder 2004,PS2,2003,Racing,E
SpongeBob SquarePants: Revenge of the Flying Dutchman,PS2,2002,Platform,E
Namco Museum Battle Collection,PSP,2005,Misc,E10+
Fishermans Bass Clu,PS2,2002,Sports,E
Toy Story 3: The Video Game,PS3,2010,Action,
Virtua Fighter 5,PS3,2007,Fighting,T
Dantes Inferno,PS3,2010,Action,M
Joust,2600,1982,Platform,
Tom Clancys Ghost Recon 2,PS2,2004,Shooter,T
LEGO Marvel Super Heroes,XOne,2013,Action,E10+
Ready 2 Rumble Boxing,PS,1998,Sports,
Star Wars: The Force Unleashed,PSP,2008,Action,T
Dragon Ball Z: Taiketsu,GBA,2003,Fighting,T
Disney's Lilo & Stitch,GBA,2002,Platform,
Star Fox: Assault,GC,2005,Shooter,T
Rayman Legends,PS4,2014,Platform,E10+
The Simpsons Game,PSP,2007,Action,T
Doko Demo Issyo,PS,1999,Misc,
LEGO Star Wars II: The Original Trilogy,DS,2006,Action,E
FIFA Soccer 11,Wii,2010,Sports,E
Call of Duty 3,PS2,2006,Shooter,T
Prince of Persia,PS3,2008,Action,T
Imagine: Fashion Designer New York,DS,2008,Simulation,E
Red Dead Redemption: Undead Nightmare,X360,2010,Action,M
Virtua Fighter,SAT,1994,Fighting,
Championship Manager 99/00,PC,1999,Sports,
The Biggest Loser,Wii,2009,Sports,E
WWE SmackDown vs. Raw 2010,PS2,2009,Fighting,T
Marvel vs. Capcom 3: Fate of Two Worlds,X360,2011,Fighting,T
Tomb Raider: Underworld,X360,2008,Action,T
DJ Hero,X360,2009,Misc,T
NHL 99,PS,1997,Sports,
Pro Evolution Soccer 2008,X360,2007,Sports,E
Tiger Woods PGA Tour 10,Wii,2009,Sports,E
SoulCalibur III,PS2,2005,Fighting,T
MySims Agents,DS,2009,Adventure,E
Lightning Returns: Final Fantasy XIII,PS3,2013,Role-Playing,T
Ridge Racer Revolution,PS,1995,Racing,
World Tour Soccer,PSP,2005,Sports,E
Naruto: Ultimate Ninja Storm,PS3,2008,Fighting,T
Hot Wheels Turbo Racing,PS,1999,Racing,
Grand Theft Auto: Chinatown Wars,PSP,2009,Action,M
NCAA Football 99,PS,1998,Sports,
Mortal Kombat: Armageddon,PS2,2006,Fighting,M
Freekstyle,PS2,2002,Racing,E
Spore Creatures,DS,2008,Simulation,E
The Orange Box,PS3,2007,Shooter,M
Simple 1500 Series Vol. 1: The Mahjong,PS,1998,Misc,
Bully: Scholarship Edition,X360,2008,Action,T
Skylanders Giants,PS3,2012,Action,E10+
NBA Street V3,PS2,2005,Sports,E
Worms Armageddon,PS,1999,Strategy,
Hulk,PS2,2003,Action,T
Titanfall 2,PS4,2016,Shooter,M
NFL Blitz,N64,1998,Sports,
NFL Quarterback Club 98,N64,1997,Sports,
Endless Ocean,Wii,2007,Adventure,E
Aliens vs Predator,X360,2010,Shooter,M
Diablo II: Lord of Destruction,PC,2001,Role-Playing,M
Spider-Man 2,GBA,2004,Action,E
Seek and Destroy,PS2,2002,Racing,T
Darksiders,X360,2010,Action,M
Mercenaries 2: World in Flames,X360,2008,Shooter,T
Warhawk,PS3,2007,Simulation,T
DiRT 3,PS3,2011,Racing,T
LEGO The Lord of the Rings,PS3,2012,Action,E10+
EA Sports UFC,PS4,2014,Sports,T
Sega Superstars Tennis,Wii,2008,Sports,E10+
DiRT,PS3,2007,Racing,E
Call of Duty 4: Modern Warfare,DS,2007,Shooter,T
Cosmic Ark,2600,1981,Shooter,
Resident Evil: The Darkside Chronicles,Wii,2009,Action,M
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,2006,Shooter,T
Dora the Explorer: Dora Saves the Mermaids,DS,2007,Platform,E
Defender,2600,1980,Misc,
Arc the Lad II,PS,1996,Role-Playing,
Derby Stallion 96,SNES,1996,Sports,
Adventure Island,NES,1986,Platform,
Tag Team Match M.U.S.C.L.E.,NES,1985,Fighting,
NBA 2K3,PS2,2002,Sports,E
The Simpsons: Road Rage,X,2001,Racing,T
Dave Mirra Freestyle BMX,PS,2000,Sports,E
Forza Motorsport,X,2005,Racing,E
Virtua Tennis 3,PS3,2007,Sports,E
Monster Rancher 2,PS,1998,Simulation,E
Imagine: Animal Doctor,DS,2007,Simulation,E
MVP Baseball 2003,PS2,2003,Sports,E
Legacy of Kain: Soul Reaver,PS,1999,Action,T
WWE SmackDown vs. Raw 2010,X360,2009,Fighting,T
Tales of Destiny,PS,1997,Role-Playing,
Sleeping Dogs,PS3,2012,Action,M
ATV: Quad Power Racing,PS,2000,Racing,E
Mega Man X4,PS,1996,Action,
Naruto: Clash of Ninja 2,GC,2003,Fighting,T
Dance Dance Revolution SuperNOVA,PS2,2006,Simulation,E10+
Aliens vs Predator,PS3,2010,Shooter,M
Jeremy McGrath Supercross 98,PS,1998,Racing,
Bomberman 64,N64,1997,Puzzle,
F-Zero: Maximum Velocity,GBA,2001,Racing,E
Sonic the Hedgehog,X360,2006,Platform,E10+
Sonic & Sega All-Stars Racing,DS,2010,Racing,
Need for Speed: Most Wanted,X,2005,Racing,T
Minecraft: Story Mode,X360,2015,Adventure,
The Simpsons Game,X360,2007,Action,T
F1 2012,PS3,2012,Racing,E
Brink,X360,2011,Shooter,T
MX vs. ATV Unleashed,PS2,2005,Racing,E
Sonic Generations,3DS,2011,Platform,E
WipEout Pure,PSP,2005,Racing,E
UFC Undisputed 3,PS3,2012,Action,T
LEGO Pirates of the Caribbean: The Video Game,X360,2011,Action,E10+
Tom Clancys Ghost Recon Advanced Warfighter 2,PS3,2007,Shooter,T
Super Princess Peach,DS,2005,Platform,E
FIFA Soccer 08,Wii,2007,Sports,E
Guinness World Records: The Videogame,Wii,2008,Action,E10+
MySims Agents,Wii,2009,Adventure,E
NCAA March Madness 2004,PS2,2003,Sports,E
LEGO Indiana Jones: The Original Adventures,PS3,2008,Action,E10+
Bomberman,NES,1985,Puzzle,
Donkey Kong Land III,G,1997,Platform,
ZhuZhu Pets,DS,2010,Simulation,E
Tomb Raider,PC,1996,Action,M
Street Fighter Alpha 3,PS,1998,Fighting,T
Kirby: Planet Robobot,3DS,2016,Action,E
Junior Brain Trainer,DS,2008,Misc,E
MotorStorm: Arctic Edge,PSP,2009,Racing,T
Disney Universe,Wii,2011,Action,E10+
Dance on Broadway,Wii,2010,Misc,E10+
Tiger Woods PGA Tour 08,Wii,2007,Sports,E
Dragon Ball Z: Budokai Tenkaichi 3,Wii,2007,Fighting,T
Need for Speed: Most Wanted,PSV,2012,Racing,
Skylanders SWAP Force,PS3,2013,Platform,E10+
Shrek 2,GC,2004,Platform,E
Tom Clancys Ghost Recon Advanced Warfighter 2,X360,2007,Shooter,T
Sonic Unleashed,PS3,2008,Platform,E10+
Disney Fairies: Tinker Bell and the Lost Treasure,DS,2009,Adventure,E
Final Fight 2,SNES,1993,Action,
The Lost World: Jurassic Park,PS,1997,Action,
Petz: Catz 2,DS,2007,Simulation,E
LEGO Indiana Jones 2: The Adventure Continues,X360,2009,Action,E10+
Bulletstorm,X360,2011,Shooter,M
